PAYMENT_NUMBER,MONTH,PAYMENT,PRINCIPAL,PERCENT_PRINCIPAL_OF_PAYMENT,INTEREST,PERCENT_INTEREST_OF_PAYMENT,REMAINING_BALANCE,PERCENT_OF_LOAN_PAID,PERCENT_OF_ASSET_OWNED
164,8,516.22,172.37,33.390802371082096,343.85,66.60919762891791,61412.64,23.2342,38.587360000000004
165,9,516.22,173.33,33.57676959435899,342.89,66.423230405641,61239.31,23.4508625,38.76069
166,10,516.22,174.3,33.7646739762117,341.92,66.2353260237883,61065.009999999995,23.668737500000006,38.93499
167,11,516.22,175.27,33.952578358064386,340.95,66.0474216419356,60889.74,23.887825000000007,39.11026
168,12,516.22,176.25,34.14241989849289,339.97,65.85758010150711,60713.49,24.108137499999998,39.28651
169,1,516.22,177.24,34.33419859749719,338.98,65.66580140250281,60536.25,24.32968749999999,39.46375
170,2,516.22,178.23,34.52597729650149,337.99,65.4740227034985,60358.02,24.552475,39.64198
171,3,516.22,179.22,34.71775599550579,337.0,65.2822440044942,60178.799999999996,24.7765,39.821200000000005
172,4,516.22,180.22,34.91147185308589,336.0,65.0885281469141,59998.579999999994,25.00177500000001,40.00142000000001
173,5,516.22,181.23,35.10712486924179,334.99,64.8928751307582,59817.34999999999,25.228312500000015,40.18265000000001
174,6,516.22,182.24,35.302777885397695,333.98,64.6972221146023,59635.10999999999,25.456112500000003,40.36489000000001
175,7,516.22,183.26,35.500368060129404,332.96,64.4996319398706,59451.84999999999,25.685187500000012,40.54815000000001
176,8,516.22,184.28,35.697958234861105,331.94,64.3020417651389,59267.56999999999,25.915537500000013,40.73243000000001
177,9,516.22,185.31,35.897485568168605,330.91,64.1025144318314,59082.259999999995,26.147175000000004,40.91774
178,10,516.22,186.34,36.09701290147611,329.88,63.90298709852388,58895.92,26.380100000000013,41.104079999999996
179,11,516.22,187.38,36.29847739335942,328.84,63.70152260664057,58708.54,26.614324999999994,41.29146
180,12,516.22,188.43,36.501879043818526,327.79,63.49812095618147,58520.11,26.8498625,41.47989
